DataSet,DataType,Mean,Standard_variance,MAD,Delta_mean,Delta_variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
repeat_4.csv,INT32,-0.0607,677.0554981798094,441.0,0.0502050205020502,19.49789979760955,341,6.326129937604602,0.8583,0.9294929492949295,RAKE,0.531425
repeat_4.csv,INT32,-0.0607,677.0554981798094,441.0,0.0502050205020502,19.49789979760955,341,6.326129937604602,0.8583,0.9294929492949295,RLE,0.158625
repeat_4.csv,INT32,-0.0607,677.0554981798094,441.0,0.0502050205020502,19.49789979760955,341,6.326129937604602,0.8583,0.9294929492949295,TS_2DIFF,0.11063333333333333
repeat_4.csv,INT32,-0.0607,677.0554981798094,441.0,0.0502050205020502,19.49789979760955,341,6.326129937604602,0.8583,0.9294929492949295,GORILLA,0.0675
repeat_4.csv,INT32,-0.0607,677.0554981798094,441.0,0.0502050205020502,19.49789979760955,341,6.326129937604602,0.8583,0.9294929492949295,PLAIN,0.18175833333333333
repeat_4.csv,INT32,-0.0607,677.0554981798094,441.0,0.0502050205020502,19.49789979760955,341,6.326129937604602,0.8583,0.9294929492949295,SPRINTZ,0.09584166666666667
repeat_4.csv,INT32,-0.0607,677.0554981798094,441.0,0.0502050205020502,19.49789979760955,341,6.326129937604602,0.8583,0.9294929492949295,RLBE,0.07691666666666666
repeat_6.csv,INT32,-0.0968,438.0435647624103,239.0,0.12961296129612962,12.945337397543938,325,5.720214335350821,0.9254,0.9660966096609661,RAKE,0.5033666666666666
repeat_6.csv,INT32,-0.0968,438.0435647624103,239.0,0.12961296129612962,12.945337397543938,325,5.720214335350821,0.9254,0.9660966096609661,RLE,0.09233333333333334
repeat_6.csv,INT32,-0.0968,438.0435647624103,239.0,0.12961296129612962,12.945337397543938,325,5.720214335350821,0.9254,0.9660966096609661,TS_2DIFF,0.10643333333333334
repeat_6.csv,INT32,-0.0968,438.0435647624103,239.0,0.12961296129612962,12.945337397543938,325,5.720214335350821,0.9254,0.9660966096609661,GORILLA,0.04848333333333334
repeat_6.csv,INT32,-0.0968,438.0435647624103,239.0,0.12961296129612962,12.945337397543938,325,5.720214335350821,0.9254,0.9660966096609661,PLAIN,0.17573333333333332
repeat_6.csv,INT32,-0.0968,438.0435647624103,239.0,0.12961296129612962,12.945337397543938,325,5.720214335350821,0.9254,0.9660966096609661,SPRINTZ,0.08366666666666667
repeat_6.csv,INT32,-0.0968,438.0435647624103,239.0,0.12961296129612962,12.945337397543938,325,5.720214335350821,0.9254,0.9660966096609661,RLBE,0.057008333333333334
