DataSet,DataType,Mean,Standard_variance,MAD,Delta mean,Delta_variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
diffmean_7.csv,INT32,-0.0142,866335.7433295792,716807.0,302.43464346434644,1077.537099836522,8294,9.205349712276146,0.0,0.5023502350235024,TS_2DIFF,0.162675
diffmean_7.csv,INT32,-0.0142,866335.7433295792,716807.0,302.43464346434644,1077.537099836522,8294,9.205349712276146,0.0,0.5023502350235024,GORILLA,0.23110833333333333
diffmean_7.csv,INT32,-0.0142,866335.7433295792,716807.0,302.43464346434644,1077.537099836522,8294,9.205349712276146,0.0,0.5023502350235024,PLAIN,0.29294166666666666
diffmean_7.csv,INT32,-0.0142,866335.7433295792,716807.0,302.43464346434644,1077.537099836522,8294,9.205349712276146,0.0,0.5023502350235024,SPRINTZ,0.17928333333333332
diffmean_7.csv,INT32,-0.0142,866335.7433295792,716807.0,302.43464346434644,1077.537099836522,8294,9.205349712276146,0.0,0.5023502350235024,RLBE,0.301
diffmean_0.csv,INT32,0.0109,2486143.191321984,2168125.5,-853.7715771577158,1409.2991487392896,7583,9.20978585423173,0.0,0.49894989498949893,RAKE,0.5639333333333333
diffmean_0.csv,INT32,0.0109,2486143.191321984,2168125.5,-853.7715771577158,1409.2991487392896,7583,9.20978585423173,0.0,0.49894989498949893,RLE,0.35160833333333336
diffmean_0.csv,INT32,0.0109,2486143.191321984,2168125.5,-853.7715771577158,1409.2991487392896,7583,9.20978585423173,0.0,0.49894989498949893,TS_2DIFF,0.162675
diffmean_0.csv,INT32,0.0109,2486143.191321984,2168125.5,-853.7715771577158,1409.2991487392896,7583,9.20978585423173,0.0,0.49894989498949893,GORILLA,0.315
diffmean_0.csv,INT32,0.0109,2486143.191321984,2168125.5,-853.7715771577158,1409.2991487392896,7583,9.20978585423173,0.0,0.49894989498949893,PLAIN,0.33045
diffmean_0.csv,INT32,0.0109,2486143.191321984,2168125.5,-853.7715771577158,1409.2991487392896,7583,9.20978585423173,0.0,0.49894989498949893,SPRINTZ,0.18705
diffmean_0.csv,INT32,0.0109,2486143.191321984,2168125.5,-853.7715771577158,1409.2991487392896,7583,9.20978585423173,0.0,0.49894989498949893,RLBE,0.2931
diffmean_6.csv,INT32,-0.017,435300.11232356983,375249.0,153.1915191519152,1017.8200692624517,7753,9.20202260580946,0.0,0.5035503550355036,RAKE,0.560725
diffmean_6.csv,INT32,-0.017,435300.11232356983,375249.0,153.1915191519152,1017.8200692624517,7753,9.20202260580946,0.0,0.5035503550355036,RLE,0.35160833333333336
diffmean_6.csv,INT32,-0.017,435300.11232356983,375249.0,153.1915191519152,1017.8200692624517,7753,9.20202260580946,0.0,0.5035503550355036,TS_2DIFF,0.162675
diffmean_6.csv,INT32,-0.017,435300.11232356983,375249.0,153.1915191519152,1017.8200692624517,7753,9.20202260580946,0.0,0.5035503550355036,GORILLA,0.3070583333333333
diffmean_6.csv,INT32,-0.017,435300.11232356983,375249.0,153.1915191519152,1017.8200692624517,7753,9.20202260580946,0.0,0.5035503550355036,PLAIN,0.26748333333333335
diffmean_6.csv,INT32,-0.017,435300.11232356983,375249.0,153.1915191519152,1017.8200692624517,7753,9.20202260580946,0.0,0.5035503550355036,SPRINTZ,0.17768333333333333
diffmean_6.csv,INT32,-0.017,435300.11232356983,375249.0,153.1915191519152,1017.8200692624517,7753,9.20202260580946,0.0,0.5035503550355036,RLBE,0.29951666666666665
diffmean_4.csv,INT32,-0.0294,461570.1267158839,412609.0,-159.18491849184917,1019.363500574354,8266,9.201606717501122,0.0,0.49934993499349933,RAKE,0.5488166666666666
diffmean_4.csv,INT32,-0.0294,461570.1267158839,412609.0,-159.18491849184917,1019.363500574354,8266,9.201606717501122,0.0,0.49934993499349933,RLE,0.35160833333333336
diffmean_4.csv,INT32,-0.0294,461570.1267158839,412609.0,-159.18491849184917,1019.363500574354,8266,9.201606717501122,0.0,0.49934993499349933,TS_2DIFF,0.16240833333333332
diffmean_4.csv,INT32,-0.0294,461570.1267158839,412609.0,-159.18491849184917,1019.363500574354,8266,9.201606717501122,0.0,0.49934993499349933,GORILLA,0.23474166666666665
diffmean_4.csv,INT32,-0.0294,461570.1267158839,412609.0,-159.18491849184917,1019.363500574354,8266,9.201606717501122,0.0,0.49934993499349933,PLAIN,0.2675666666666667
diffmean_4.csv,INT32,-0.0294,461570.1267158839,412609.0,-159.18491849184917,1019.363500574354,8266,9.201606717501122,0.0,0.49934993499349933,SPRINTZ,0.17744166666666666
diffmean_4.csv,INT32,-0.0294,461570.1267158839,412609.0,-159.18491849184917,1019.363500574354,8266,9.201606717501122,0.0,0.49934993499349933,RLBE,0.29709166666666664
diffmean_9.csv,INT32,0.0126,1865330.3883767738,1667566.0,634.5291529152915,1270.0143191957675,8761,9.207429153817827,0.0,0.49414941494149417,RAKE,0.5636
diffmean_9.csv,INT32,0.0126,1865330.3883767738,1667566.0,634.5291529152915,1270.0143191957675,8761,9.207429153817827,0.0,0.49414941494149417,RLE,0.35160833333333336
diffmean_9.csv,INT32,0.0126,1865330.3883767738,1667566.0,634.5291529152915,1270.0143191957675,8761,9.207429153817827,0.0,0.49414941494149417,TS_2DIFF,0.162675
diffmean_9.csv,INT32,0.0126,1865330.3883767738,1667566.0,634.5291529152915,1270.0143191957675,8761,9.207429153817827,0.0,0.49414941494149417,GORILLA,0.3056583333333333
diffmean_9.csv,INT32,0.0126,1865330.3883767738,1667566.0,634.5291529152915,1270.0143191957675,8761,9.207429153817827,0.0,0.49414941494149417,PLAIN,0.3250166666666667
diffmean_9.csv,INT32,0.0126,1865330.3883767738,1667566.0,634.5291529152915,1270.0143191957675,8761,9.207429153817827,0.0,0.49414941494149417,SPRINTZ,0.18465833333333334
diffmean_9.csv,INT32,0.0126,1865330.3883767738,1667566.0,634.5291529152915,1270.0143191957675,8761,9.207429153817827,0.0,0.49414941494149417,RLBE,0.30551666666666666
