INT32,INT64,FLOAT,DOUBLE,Mean,Standard_variance,Spread,Delta_mean,Delta_variance,Delta_spread,Repeat,Increase,RAKE,RLE,TS_2DIFF,GORILLA,PLAIN,SPRINTZ,RLBE
1,0,0,0,41.727874727329386,5.221387824023676,20,0.0005453624712710841,0.3441239133946775,33,0.982315363041446,0.9990261384441588,0,0,0,0,1,0,0
1,0,0,0,9919.1242,9.075779545581748,34,-0.0025002500250025004,0.5373291557668365,21,0.4199,0.9137913791379138,0,0,0,1,0,0,0
1,0,0,0,167.92932927391826,103.91803061558323,379,-0.004613184481247405,62.47853588666725,728,0.25412860965033673,0.6696959911426857,0,0,0,0,1,0,0
1,0,0,0,25.3861,5.096648584118784,30,0.0011001100110011,0.46617649225500546,48,0.9633,0.9975997599759976,0,1,0,0,0,0,0
1,0,0,0,161.90059750135796,138.90820003492075,724,-0.0018109380659181455,27.771738589881476,502,0.0,0.5295182904744657,0,0,0,0,0,1,0
1,0,0,0,8.378244399756817,5.626559797328588,25,0.0004676830979328407,0.5647651317695855,28,0.6590281999719403,0.9236273501075671,0,0,0,0,1,0,0
1,0,0,0,39.17349953831948,5.833287120520001,20,-4.6170183295627686e-05,0.3177643603928104,30,0.9668051708217913,0.9990304261507919,0,0,0,0,1,0,0
1,0,0,0,-0.0581,939.387707458635,6278,0.23332333233323332,50.21259599090831,412,0.0,0.5041504150415042,0,0,1,0,0,0,0
1,0,0,0,1218.5755844428138,72.44792386578224,1190,-0.0057661057818315245,31.82829036245553,2295,0.3978928608868854,0.8189442784504901,0,0,0,0,1,0,0
1,0,0,0,0.2736,5.599369878834582,19,0.0006000600060006001,0.4204965180547468,30,0.859,0.9631963196319632,0,0,0,0,1,0,0
1,0,0,0,1215.9821420022024,65.05176696789248,1344,-0.002106674327300584,28.31756880492154,2389,0.3541916024321348,0.7969932011873982,0,0,0,0,1,0,0
1,0,0,0,1211.2039913759743,67.2560015350722,1161,0.056003980539584254,29.38835260995279,2187,0.29603626513350656,0.770234409553295,0,0,0,0,1,0,0
