Exponent,Types,Length,Repeat,RLE,PLAIN,HUFFMAN,DICTIONARY,MTF,BW,AC
0.0,2,0.9477351916376306,1004.5,0,0,0,1,0,0,0
0.0,99553,0.0454092930716537,311.17397,0,0,0,0,1,0,0
0.0,2,0.9083292262198128,1014.5,0,0,0,1,0,0,0
0.1255308820838588,99484,0.0391662650434814,333.56308,0,0,0,0,1,0,0
1.0189063975098451e-05,2,0.0,12.997480806142034,0,0,0,1,0,0,0
0.0418201756946269,1200,0.4995726578764746,1000.0,0,0,0,0,0,1,0
4.742509298080642e-05,246,0.4705164817559178,100.0,0,0,0,1,0,0,0
0.0,2,0.999,1000.0,0,0,0,1,0,0,0
0.1699250014423123,98402,0.0416058025468833,319.13986,0,0,0,0,1,0,0
0.2630344058337938,99262,0.0422582441854363,321.10965,0,0,0,0,1,0,0
1.0182160449759483e-05,4,0.0005284704655472,1.0014607090436942,0,0,0,1,0,0,0
0.0,2,0.4378109452736318,100.5,0,0,0,1,0,0,0
1.4321046271787345e-05,2,0.0,4.710878401264536,0,0,0,1,0,0,0
0.0430687218918859,1200,0.4992858431644691,1000.0,0,0,0,0,0,1,0
0.0,2,0.500823723228995,910.5,0,0,0,1,0,0,0
2.888307272206684e-05,3,0.499972,100.0,0,0,0,1,0,0,0
0.0,2,0.511307767944936,508.5,0,0,0,1,0,0,0
0.0324214776923774,900,0.4990746703678001,1000.0,0,0,0,0,0,1,0
0.0,97975,0.0435979516445575,317.83351,0,0,0,0,1,0,0
0.0,1200,0.4993303955586398,1000.0,0,0,0,0,0,1,0
2.8912013966809636e-05,3,0.499946,100.0,0,0,0,1,0,0,0
0.0,2,0.9725,1000.0,0,0,0,1,0,0,0
0.0,2,0.5067985166872683,404.5,0,0,0,1,0,0,0
0.0,2,0.9494089834515368,1057.5,0,0,0,1,0,0,0
3.122953126205422e-05,17,0.5924911494689682,100.0,0,0,0,1,0,0,0
0.1699250014423123,98455,0.0398631275308403,366.14814,0,0,0,0,1,0,0
0.0,2,0.9242498770290212,1016.5,0,0,0,1,0,0,0
2.909509919100021e-05,5,0.4799316,100.0,0,0,0,1,0,0,0
2.8861116097790825e-05,2,0.4999928,100.0,0,0,0,1,0,0,0
0.0,98726,0.0378001782432328,349.95999,0,0,0,0,1,0,0
0.0,2,0.999,1000.0,0,0,0,1,0,0,0
0.0,2,0.9501953125,1024.0,0,0,0,1,0,0,0
4.742509298080642e-05,246,0.5612180077702568,100.0,0,0,0,1,0,0,0
0.1255308820838588,99340,0.046120176259776,323.37951,0,0,0,0,1,0,0
0.0066637302810106,150,0.5013775503122831,1000.0,0,0,0,1,0,0,0
0.137503523749935,99289,0.0423355378098347,336.8449,0,0,0,0,1,0,0
0.1926450779423958,98290,0.0397358214516283,371.42607,0,0,0,0,1,0,0
0.0,2,0.5004935834155972,1013.0,0,0,0,1,0,0,0
2.8912013966809636e-05,3,0.4599114,100.0,0,0,0,1,0,0,0
0.0,1050,0.4995349757113116,1000.0,0,0,0,0,0,1,0
0.0,2,0.4986498649864986,1111.0,0,0,0,1,0,0,0
0.0,2,0.5152514427040396,606.5,0,0,0,1,0,0,0
