Senser,s_0
1606140108,2134387681
1606140111,2134387681
1606140112,2134387681
1606140114,2134387681
1606140116,2134387681
1606140118,2134387681
1606140121,2134387681
1606140122,2134387681
1606140125,2134387681
1606140130,2134387681
1606140131,2134387681
1606140133,2134387681
1606140135,2134387681
1606140137,2134387681
1606140147,2134387681
1606140150,2134387681
1606140154,2134387681
1606140155,2134387681
1606140158,2134387681
1606140162,2134387681
1606140163,2134387681
1606140167,2134387681
1606140169,2134387681
1606140174,2134387681
1606140175,2134387681
1606140177,2134387681
1606140180,2134387681
1606140181,2134387681
1606140185,2134387681
1606140188,2134387681
1606140192,2134387681
1606140195,2134387681
1606147280,2134387681
1606147282,2134387681
1606147296,2134387681
1606147303,2134387681
1606147311,2134387681
1606104518,2134387682
1606127447,2134387681
1606127438,2134387681
1606149555,2134387681
1606149554,2134387681
1606151882,2134387681
1606151983,2134387681
1606152868,2134387681
1606152867,2134387681
1606152863,2134387681
1606166010,2134387681
1606166003,2134387681
1606190343,2134387680
1606190346,2134387680
1606190574,2134387680
1606295228,2134387680
1606125349,2134387682
1606125337,2134387682
1606129382,2134387681
1606129376,2134387681
1606129375,2134387681
1606151873,2134387681
1606151988,2134387681
1606151985,2134387681
1606152865,2134387681
1606152861,2134387681
1606297189,2134387680
1606104476,2134387682
1606104521,2134387682
1606104473,2134387682
1606104519,2134387682
1606104472,2134387682
1606125346,2134387682
1606151867,2134387681
1606190344,2134387680
1606125341,2134387682
1606190209,2134387680
1606152858,2134387681
1606152856,2134387681
1606190207,2134387680
1606151861,2134387681
1606295043,2134387680
1606149750,2134387681
1606292459,2134387680
1606149688,2134387681
1606297188,2134387680
1606129374,2134387681
1606297893,2134387680
1606119596,2134387682
1606104462,2134387682
1606104484,2134387682
1606129373,2134387681
1606297161,2134387680
1606104517,2134387682
1606168019,2134387681
1606104460,2134387682
1606104439,2134387682
1606295062,2134387680
1606104483,2134387682
1606104430,2134387682
1606167894,2134387681
1606149664,2134387681
1606152855,2134387681
1606167893,2134387681
1606183536,2134387681
1606125165,2134387682
1606190189,2134387680
1606294760,2134387680
1606167886,2134387681
1606177423,2134387681
1606190337,2134387680
1606192665,2134387680
1606177421,2134387681
1606177420,2134387681
1606125321,2134387682
1606190180,2134387680
1606167885,2134387681
1606127159,2134387681
1606177419,2134387681
1606281182,2134387680
1606281181,2134387680
1606126437,2134387681
1606281180,2134387680
1606167883,2134387681
1606201964,2134387680
1606190651,2134387680
1606296789,2134387680
1606201961,2134387680
1606165532,2134387681
1606125129,2134387682
1606169267,2134387681
1606206651,2134387680
1606165105,2134387681
1606165531,2134387681
1606291683,2134387680
1606125312,2134387682
1606125021,2134387682
1606294759,2134387680
1606104626,2134387682
1606297888,2134387680
1606104511,2134387682
1606126868,2134387681
1606125166,2134387682
1606294757,2134387680
1606104502,2134387682
1606104501,2134387682
1606104469,2134387682
1606104455,2134387682
1606152854,2134387681
1606104510,2134387682
1606104429,2134387682
1606151858,2134387681
1606104500,2134387682
1606125175,2134387682
1606297887,2134387680
1606104555,2134387682
1606104499,2134387682
1606206812,2134387680
1606190178,2134387680
1606165530,2134387681
1606182536,2134387681
1606191829,2134387680
1606125302,2134387682
1606165102,2134387681
1606181335,2134387681
1606190177,2134387680
1606169139,2134387681
1606169138,2134387681
1606169140,2134387681
1606190176,2134387680
1606190175,2134387680
1606191075,2134387680
1606190174,2134387680
1606169133,2134387681
1606188151,2134387681
1606190931,2134387680
1606190172,2134387680
1606181181,2134387681
1606206808,2134387680
1606206807,2134387680
1606207746,2134387680
1606182531,2134387681
1606165526,2134387681
1606171471,2134387681
1606190171,2134387680
1606190188,2134387680
1606104553,2134387682
1606104498,2134387682
1606297886,2134387680
1606104552,2134387682
1606149717,2134387681
1606125147,2134387682
1606125149,2134387682
1606104497,2134387682
1606171371,2134387681
1606149716,2134387681
1606104428,2134387682
1606104550,2134387682
1606149546,2134387681
1606167891,2134387681
1606104545,2134387682
1606190185,2134387680
1606183535,2134387681
1606151857,2134387681
1606297181,2134387680
1606297206,2134387680
1606165525,2134387681
